sentence_id,transcription
1, ແມ່ຍິງ ໃນຄວາມຄິດຂອງຫລາຍຄົນຄົງຄິດວ່າ ເປັນເພດທີ່ອ່ອນແອບໍ່ສາມາດຊ່ວຍເຫລືອຕົນເອງ ອາໃສແຕ່ເພດຊາຍເພື່ອຄຸ້ມຄອງດູແລ
2, ແຕ່ຄວາມຄິດເຫລົ່ານີ້ຖ້າເອົາມາໃຊ້ກັບແມ່ຍິງລາວບັນດາເຜົ່າ ແມ່ນຜິດພາດທີ່ສຸດ ເພາະແມ່ຍິງລາວ ເຖີງວ່າເປັນຄົນອ່ອນຫວານນິ້ມນວນ
3, ມີຈິດໃຈໂອບເອື້ອອາລີ ແຕ່ເປັນຄົນທີ່ເຂັ້ມແຂງ ແລະ ອົດທົນຜ່ານຜ່າອຸປະສັກນາໆ ປະການ
4, ສະແດງອອກໃນສະໄໝຕໍ່ສູ້ກູ້ຊາດແມ່ຍິງລາວບັນດາເຜົ່າໃນທົ່ວປະເທດໄດ້ຄຽງບ່າຄຽງໄຫລ່ກັບເພດຊາຍ
5,ຕໍ່ສູ້ຕ້ານການຮຸກຮານຂອງພວກສັກດິນາພວກຈັກກະພັດລ່າເມືອງຂຶ້ນແບບເກົ່າ ແລະ ແບບໃໝ່ໃນສະໝໍຣະພູມຮົບຢ່າງດຸເດືອດ
6,ໜຽວແໜ້ນ ແລະ ພິລາດອາດຫານທີ່ສຸດ ເຮັດໃຫ້ເກີດມີເອື້ອຍນ້ອງກອງກໍາລັງໄຟເພດຍິງສາວຊຽງຂວາງທັງງາມ-ທັງເກັ່ງ
7,ເອື້ອຍນ້ອງຍິງຢູ່ແຂວງອື່ນໆທົ່ວປະເທດໄດ້ຮ່ວມສ້າງວິລະກໍາອັນຍິ່ງໃຫຍ່ ແລະ ເກີດມີວິລະຊົນ
8, ທີ່ໄດ້ປະກອບສ່ວນຢ່າງສົມກຽດເຂົ້າໃນການຂຽນໜ້າປະຫວັດສາດຂອງຊາດລາວ.
9,ໃນໄລຍະແຫ່ງການປົກປັກຮັກສາ ແລະ ສ້າງສາປະເທດຊາດໃນປັດຈຸບັນກໍເຊັ່ນດຽວກັນ
10,ພາຍໃຕ້ການນໍາພາ-ຊີ້ນໍາຂອງພັກ ແລະ ຄວາມເອົາໃຈໃສ່ຂອງລັດຖະບານໂດຍມີສູນກາງສະຫະພັນແມ່ຍິງລາວເປັນອົງການຈັດຕັ້ງມະຫາຊົນ
11,ເປັນຕົວແທນແຫ່ງສິດ ແລະ ຜົນປະໂຫຍດອັນຊອບທຳ ຂອງແມ່ຍິງລາວບັນດາເຜົ່າ
